,Reporting_District_ID,Year,Census_Tract_ID,Weighted_Avg_Median_Household_Income_Dollars,Weighted_Avg_Percent_White,Weighted_Avg_Percent_Black_African_American,Weighted_Avg_Percent_American_Indian_Alaska_Native,Weighted_Avg_Percent_Asian,Weighted_Avg_Percent_Native_Hawaiian_Other_Pacific_Islander,Weighted_Avg_Percent_Some_Other_Race,Weighted_Avg_Percent_Two_Or_More_Races,Weighted_Avg_Percent_Hispanic_Latino
0,101,2017,"[197300, 197600, 197700, 980010]",36777.61,15.6,4.56,1.31,42.52,0.17,0.0,2.72,33.11
1,101,2018,"[197300, 197600, 197700]",44768.04,17.25,2.93,1.75,43.69,0.0,0.0,3.5,30.88
2,101,2019,"[197300, 197600, 197700, 980010]",54756.93,22.76,3.0,2.21,42.68,0.0,0.0,4.06,25.29
3,101,2020,"[197300, 197600, 197700, 980010]",52272.88,22.31,2.04,1.92,44.07,0.0,0.0,4.94,24.72
4,101,2021,"[197300, 197600, 197700, 980010]",55570.89,20.46,1.83,1.94,41.67,0.0,0.79,3.65,29.67
5,101,2022,"[197300, 197600, 197700]",63128.0,21.57,1.98,0.0,43.86,0.0,0.58,3.17,28.84
6,105,2017,"[197700, 206010, 207103, 980010]",27652.85,7.89,2.68,0.0,31.72,0.0,0.0,1.14,56.56
7,105,2018,"[197700, 206010, 207103]",38749.36,8.85,0.21,0.0,38.19,0.0,0.0,1.02,51.72
8,105,2019,"[197700, 206010, 207103, 980010]",42037.27,7.78,1.1,0.01,36.89,0.0,0.0,0.45,53.78
9,105,2020,"[197700, 206010, 207103, 980010]",41399.55,11.0,1.89,0.01,31.99,0.0,0.0,0.37,54.75
10,105,2021,"[197700, 206010, 207103, 980010]",46258.6,11.23,2.12,0.01,31.25,0.0,0.21,0.46,54.73
11,105,2022,"[197700, 206010, 207103]",57666.23,11.37,1.1,0.0,38.77,0.0,0.11,0.41,48.24
12,109,2017,"[206010, 980010]",12265.82,30.35,2.26,0.0,21.27,0.0,0.0,0.02,46.09
13,109,2018,[206010],38734.0,8.83,0.2,0.0,38.17,0.0,0.0,1.01,51.79
14,109,2019,"[206010, 980010]",19644.13,24.9,1.05,0.0,38.9,0.0,0.0,0.01,35.14
15,109,2020,"[199002, 206010, 980010]",32283.72,11.77,0.87,0.0,24.52,0.82,0.0,0.01,62.0
16,109,2021,"[199002, 206010, 980010]",40517.23,11.05,0.06,0.0,23.11,0.89,0.0,4.48,60.41
17,109,2022,"[199002, 206010]",60069.88,13.04,1.25,0.0,35.73,0.0,0.08,0.51,49.4
18,111,2017,"[197600, 197700, 206010, 206020, 207101, 207102, 207103]",27877.73,7.96,7.06,1.11,71.09,0.0,0.0,0.51,12.27
19,111,2018,"[197600, 197700, 206010, 206020, 207101, 207102, 207103]",30593.39,9.63,7.14,0.78,65.87,0.0,0.0,0.87,15.7
20,111,2019,"[197600, 197700, 206010, 206020, 207101, 207102, 207103]",32860.05,10.19,7.71,1.08,62.7,0.0,0.0,2.33,15.98
21,111,2020,"[197600, 197700, 206010, 206020, 207101, 207102, 207103]",37932.46,10.07,7.43,0.05,63.08,0.0,0.0,3.21,16.16
22,111,2021,"[197600, 197700, 206010, 206020, 207101, 207102, 207103]",38642.14,10.99,4.98,0.51,60.48,0.0,0.7,4.29,18.05
23,111,2022,"[197600, 197700, 206010, 206020, 207101, 207103]",50149.92,14.03,8.6,0.8,56.41,0.0,1.22,6.62,12.31
24,112,2017,"[207101, 207102, 207400]",88900.83,15.7,14.54,0.04,7.87,0.36,0.0,2.46,59.02
25,112,2018,"[207101, 207102]",33961.61,11.95,9.09,0.69,58.31,0.0,0.0,0.87,19.09
26,112,2019,"[207101, 207102, 207400]",84560.9,14.95,25.04,0.73,13.84,0.31,0.0,1.78,43.35
27,112,2020,"[207101, 207102, 207400]",90679.12,16.39,21.17,0.6,18.33,0.3,0.0,1.54,41.67
28,112,2021,"[207101, 207102, 207400]",71439.5,19.35,14.41,0.49,24.72,0.0,0.07,1.38,39.57
29,112,2022,"[207101, 207400]",59645.56,21.54,14.99,0.83,27.34,0.0,0.07,1.42,33.81
30,118,2017,"[199700, 203500, 206010, 206020, 207102, 207103, 980010]",27791.81,7.83,2.73,0.02,33.19,0.01,0.0,1.1,55.11
31,118,2018,"[199700, 203500, 206010, 206020, 207102, 207103]",38513.21,8.84,0.4,0.01,39.18,0.01,0.0,1.02,50.53
32,118,2019,"[199700, 203500, 206010, 206020, 207102, 207103, 980010]",41843.83,7.81,1.22,0.01,37.93,0.01,0.0,0.47,52.56
33,118,2020,"[199700, 203500, 206010, 206020, 207102, 207103, 980010]",41320.62,10.91,2.05,0.01,33.2,0.0,0.01,0.39,53.44
34,118,2021,"[199700, 203500, 206010, 206020, 207102, 207103, 980010]",45977.11,11.14,2.26,0.01,32.46,0.0,0.21,0.5,53.42
35,118,2022,"[199700, 203500, 206010, 206020, 207103]",57281.69,11.3,1.29,0.0,39.5,0.0,0.12,0.46,47.33
36,119,2017,"[203500, 206010, 206020, 207102, 207103]",95287.67,18.72,32.01,0.47,3.55,0.72,0.8,1.66,42.07
