Division_ID,Division_Name,Year,Division_Total_Population,Division_Population_White,Division_Population_Black_African_American,Division_Population_American_Indian_Alaska_Native,Division_Population_Asian,Division_Population_Native_Hawaiian_Other_Pacific_Islander,Division_Population_Some_Other_Race,Division_Population_Two_Or_More_Races,Division_Population_Hispanic_Latino,Percent_White,Percent_Black_African_American,Percent_American_Indian_Alaska_Native,Percent_Asian,Percent_Native_Hawaiian_Other_Pacific_Islander,Percent_Some_Other_Race,Percent_Two_Or_More_Races,Percent_Hispanic_Latino
1,CENTRAL,2017,34760.94,5439.49,4661.76,193.62,12275.84,72.6,67.24,686.55,11363.83,15.65,13.41,0.56,35.32,0.21,0.19,1.98,32.69
1,CENTRAL,2018,36537.18,5688.37,5210.77,207.23,12503.22,58.01,86.12,826.64,11956.82,15.57,14.26,0.57,34.22,0.16,0.24,2.26,32.73
1,CENTRAL,2019,37305.33,6131.94,5203.5,255.91,12325.82,54.03,67.33,936.22,12330.59,16.44,13.95,0.69,33.04,0.14,0.18,2.51,33.05
1,CENTRAL,2020,74935.57,16923.07,12817.22,413.99,21623.92,86.97,389.33,2658.65,20022.42,22.58,17.1,0.55,28.86,0.12,0.52,3.55,26.72
1,CENTRAL,2021,78029.5,17447.83,12758.53,388.5,22048.8,166.21,523.78,3139.29,21556.57,22.36,16.35,0.5,28.26,0.21,0.67,4.02,27.63
1,CENTRAL,2022,80156.9,17679.04,13462.32,330.48,23306.99,149.03,501.92,3727.7,20999.41,22.06,16.79,0.41,29.08,0.19,0.63,4.65,26.2
2,RAMPART,2017,154806.92,16506.59,5589.84,150.66,25182.49,224.28,302.89,1967.31,104882.88,10.66,3.61,0.1,16.27,0.14,0.2,1.27,67.75
2,RAMPART,2018,154978.72,17005.94,5165.41,137.61,24543.87,181.25,346.04,2103.73,105494.89,10.97,3.33,0.09,15.84,0.12,0.22,1.36,68.07
2,RAMPART,2019,154125.4,17665.03,5660.42,275.56,23585.91,207.06,343.66,2231.92,104155.85,11.46,3.67,0.18,15.3,0.13,0.22,1.45,67.58
2,RAMPART,2020,171643.71,20631.84,8035.79,370.61,26142.78,311.42,459.03,3355.43,112336.81,12.02,4.68,0.22,15.23,0.18,0.27,1.95,65.45
2,RAMPART,2021,166789.65,20380.29,8269.47,402.17,24841.39,398.67,398.0,3636.79,108462.86,12.22,4.96,0.24,14.89,0.24,0.24,2.18,65.03
2,RAMPART,2022,164963.36,20680.03,9018.9,368.03,24281.17,179.96,597.84,3354.67,106482.76,12.54,5.47,0.22,14.72,0.11,0.36,2.03,64.55
3,SOUTHWEST,2017,150119.56,10465.75,42929.66,137.37,10237.53,264.92,1132.94,2356.98,82594.41,6.97,28.6,0.09,6.82,0.18,0.75,1.57,55.02
3,SOUTHWEST,2018,151947.26,10589.12,42362.69,138.83,10809.29,202.51,926.53,2214.66,84703.62,6.97,27.88,0.09,7.11,0.13,0.61,1.46,55.75
3,SOUTHWEST,2019,153305.04,11570.47,42131.43,164.97,10814.79,242.53,778.88,2365.37,85236.61,7.55,27.48,0.11,7.05,0.16,0.51,1.54,55.6
3,SOUTHWEST,2020,198125.91,17002.25,58228.85,130.8,14018.25,283.52,885.52,4429.44,103147.28,8.58,29.39,0.07,7.08,0.14,0.45,2.24,52.06
3,SOUTHWEST,2021,195009.81,16669.5,56599.0,112.66,13501.08,265.67,711.75,4211.76,102938.39,8.55,29.02,0.06,6.92,0.14,0.36,2.16,52.79
3,SOUTHWEST,2022,195835.56,17925.07,53272.56,136.8,13912.58,252.81,1104.71,5312.64,103918.38,9.15,27.2,0.07,7.1,0.13,0.56,2.71,53.06
4,HOLLENBECK,2017,161172.28,8735.44,2304.93,221.48,12608.36,125.4,300.84,980.41,135895.42,5.42,1.43,0.14,7.82,0.08,0.19,0.61,84.32
4,HOLLENBECK,2018,160936.29,8724.99,2499.62,184.45,12859.36,82.65,250.11,1185.57,135149.53,5.42,1.55,0.11,7.99,0.05,0.16,0.74,83.98
4,HOLLENBECK,2019,163405.77,9102.76,2762.74,239.23,13109.19,38.33,280.1,1402.98,136470.44,5.57,1.69,0.15,8.02,0.02,0.17,0.86,83.52
4,HOLLENBECK,2020,184794.85,9954.38,3260.59,246.55,19177.86,29.86,393.7,1597.75,150134.16,5.39,1.76,0.13,10.38,0.02,0.21,0.86,81.24
4,HOLLENBECK,2021,177485.57,10028.35,2860.46,205.83,18841.64,0.31,347.45,1686.38,143515.15,5.65,1.61,0.12,10.62,0.0,0.2,0.95,80.86
4,HOLLENBECK,2022,175243.99,10520.01,3035.09,259.44,18854.73,110.2,347.97,1877.72,140238.82,6.0,1.73,0.15,10.76,0.06,0.2,1.07,80.02
5,HARBOR,2017,156486.99,30369.85,8749.5,221.57,12413.67,726.01,228.87,3861.53,99915.99,19.41,5.59,0.14,7.93,0.46,0.15,2.47,63.85
5,HARBOR,2018,156090.79,29807.57,8631.74,122.14,12006.91,816.33,232.67,3956.93,100516.5,19.1,5.53,0.08,7.69,0.52,0.15,2.54,64.4
5,HARBOR,2019,155651.71,28805.04,9345.99,166.07,13372.67,884.53,245.1,3319.47,99512.84,18.51,6.0,0.11,8.59,0.57,0.16,2.13,63.93
5,HARBOR,2020,185522.0,36080.65,9922.41,185.12,18252.26,706.37,513.94,4195.6,115665.65,19.45,5.35,0.1,9.84,0.38,0.28,2.26,62.35
