,Date,Reporting_District_ID,Arrest_Count,Call_Count
0,2017-01-01,111,1,15.0
1,2017-01-01,121,1,1.0
2,2017-01-01,134,1,1.0
3,2017-01-01,153,3,10.0
4,2017-01-01,156,1,4.0
5,2017-01-01,158,1,4.0
6,2017-01-01,161,1,2.0
7,2017-01-01,174,1,2.0
8,2017-01-01,176,1,2.0
9,2017-01-01,191,1,1.0
10,2017-01-01,216,2,4.0
11,2017-01-01,248,1,7.0
12,2017-01-01,257,1,8.0
13,2017-01-01,266,1,2.0
14,2017-01-01,269,1,2.0
15,2017-01-01,275,1,2.0
16,2017-01-01,281,1,4.0
17,2017-01-01,314,1,4.0
18,2017-01-01,325,1,1.0
19,2017-01-01,333,1,8.0
20,2017-01-01,338,1,2.0
21,2017-01-01,355,1,4.0
22,2017-01-01,357,1,6.0
23,2017-01-01,362,1,16.0
24,2017-01-01,374,1,7.0
25,2017-01-01,378,1,
26,2017-01-01,397,2,4.0
27,2017-01-01,398,1,5.0
28,2017-01-01,402,3,3.0
29,2017-01-01,403,1,
30,2017-01-01,409,1,1.0
31,2017-01-01,427,1,2.0
32,2017-01-01,448,3,6.0
33,2017-01-01,451,1,
34,2017-01-01,462,2,1.0
35,2017-01-01,467,1,5.0
36,2017-01-01,488,1,
37,2017-01-01,509,1,4.0
38,2017-01-01,511,1,4.0
39,2017-01-01,513,1,2.0
40,2017-01-01,522,1,2.0
41,2017-01-01,529,1,4.0
42,2017-01-01,551,1,2.0
43,2017-01-01,555,1,2.0
44,2017-01-01,563,1,4.0
45,2017-01-01,584,1,1.0
46,2017-01-01,626,2,2.0
47,2017-01-01,632,1,8.0
48,2017-01-01,636,1,20.0
49,2017-01-01,637,2,5.0
50,2017-01-01,644,2,3.0
51,2017-01-01,645,2,23.0
52,2017-01-01,646,6,24.0
53,2017-01-01,647,2,7.0
54,2017-01-01,666,1,12.0
55,2017-01-01,668,1,8.0
56,2017-01-01,724,1,5.0
57,2017-01-01,758,1,3.0
58,2017-01-01,765,1,3.0
59,2017-01-01,784,1,5.0
60,2017-01-01,787,1,1.0
61,2017-01-01,822,1,2.0
62,2017-01-01,839,1,1.0
63,2017-01-01,892,4,1.0
64,2017-01-01,904,1,8.0
65,2017-01-01,909,2,6.0
66,2017-01-01,923,1,3.0
67,2017-01-01,933,1,2.0
68,2017-01-01,935,2,1.0
69,2017-01-01,939,1,2.0
70,2017-01-01,946,1,3.0
71,2017-01-01,963,1,5.0
72,2017-01-01,964,1,4.0
73,2017-01-01,1012,1,3.0
74,2017-01-01,1015,1,4.0
75,2017-01-01,1025,1,6.0
76,2017-01-01,1034,3,2.0
77,2017-01-01,1065,1,3.0
78,2017-01-01,1071,1,
79,2017-01-01,1113,1,3.0
80,2017-01-01,1118,2,2.0
81,2017-01-01,1123,1,2.0
82,2017-01-01,1136,2,1.0
83,2017-01-01,1144,4,2.0
84,2017-01-01,1145,1,4.0
85,2017-01-01,1147,3,3.0
86,2017-01-01,1157,1,
87,2017-01-01,1171,1,3.0
88,2017-01-01,1177,2,10.0
89,2017-01-01,1183,1,3.0
90,2017-01-01,1195,1,3.0
91,2017-01-01,1231,1,1.0
92,2017-01-01,1232,1,7.0
93,2017-01-01,1243,2,3.0
94,2017-01-01,1245,1,6.0
95,2017-01-01,1251,1,6.0
96,2017-01-01,1258,1,6.0
97,2017-01-01,1267,1,6.0
98,2017-01-01,1269,1,8.0
99,2017-01-01,1273,1,11.0
100,2017-01-01,1307,1,4.0
101,2017-01-01,1309,1,8.0
102,2017-01-01,1317,2,
103,2017-01-01,1342,1,2.0
104,2017-01-01,1347,1,11.0
105,2017-01-01,1352,1,12.0
106,2017-01-01,1361,1,12.0
107,2017-01-01,1362,1,7.0
108,2017-01-01,1364,1,6.0
109,2017-01-01,1365,1,3.0
110,2017-01-01,1367,1,11.0
111,2017-01-01,1375,1,2.0
112,2017-01-01,1377,1,3.0
113,2017-01-01,1407,1,4.0
114,2017-01-01,1408,1,
115,2017-01-01,1409,1,6.0
116,2017-01-01,1412,5,8.0
117,2017-01-01,1414,1,6.0
118,2017-01-01,1441,2,4.0
119,2017-01-01,1443,1,5.0
120,2017-01-01,1444,1,5.0
121,2017-01-01,1452,2,7.0
122,2017-01-01,1457,1,4.0
123,2017-01-01,1489,1,5.0
124,2017-01-01,1497,1,
125,2017-01-01,1498,1,
126,2017-01-01,1503,1,5.0
127,2017-01-01,1527,1,4.0
128,2017-01-01,1555,1,7.0
129,2017-01-01,1557,1,3.0
130,2017-01-01,1567,1,4.0
131,2017-01-01,1591,1,4.0
132,2017-01-01,1617,1,
133,2017-01-01,1658,1,
134,2017-01-01,1751,1,3.0
135,2017-01-01,1762,1,6.0
136,2017-01-01,1764,1,5.0
137,2017-01-01,1766,1,1.0
138,2017-01-01,1798,1,2.0
139,2017-01-01,1806,1,4.0
140,2017-01-01,1822,1,5.0
141,2017-01-01,1827,1,3.0
142,2017-01-01,1831,1,
143,2017-01-01,1841,2,7.0
144,2017-01-01,1842,1,6.0
145,2017-01-01,1844,1,11.0
146,2017-01-01,1846,1,
147,2017-01-01,1849,1,5.0
148,2017-01-01,1881,1,5.0
149,2017-01-01,1906,1,4.0
150,2017-01-01,1913,1,10.0
151,2017-01-01,1925,1,6.0
152,2017-01-01,1952,1,1.0
153,2017-01-01,1959,2,1.0
154,2017-01-01,1961,1,6.0
155,2017-01-01,1966,2,5.0
156,2017-01-01,1967,1,2.0
157,2017-01-01,1982,3,
158,2017-01-01,1984,1,4.0
159,2017-01-01,2016,1,2.0
