,Date,Reporting_District_ID,Arrest_Count,Call_Count,Month,Year
0,2017-01-01,111,1,15.0,2017-01,2017
1,2017-01-01,121,1,1.0,2017-01,2017
2,2017-01-01,134,1,1.0,2017-01,2017
3,2017-01-01,153,3,10.0,2017-01,2017
4,2017-01-01,156,1,4.0,2017-01,2017
5,2017-01-01,158,1,4.0,2017-01,2017
6,2017-01-01,161,1,2.0,2017-01,2017
7,2017-01-01,174,1,2.0,2017-01,2017
8,2017-01-01,176,1,2.0,2017-01,2017
9,2017-01-01,191,1,1.0,2017-01,2017
10,2017-01-01,216,2,4.0,2017-01,2017
11,2017-01-01,248,1,7.0,2017-01,2017
12,2017-01-01,257,1,8.0,2017-01,2017
13,2017-01-01,266,1,2.0,2017-01,2017
14,2017-01-01,269,1,2.0,2017-01,2017
15,2017-01-01,275,1,2.0,2017-01,2017
16,2017-01-01,281,1,4.0,2017-01,2017
17,2017-01-01,314,1,4.0,2017-01,2017
18,2017-01-01,325,1,1.0,2017-01,2017
19,2017-01-01,333,1,8.0,2017-01,2017
20,2017-01-01,338,1,2.0,2017-01,2017
21,2017-01-01,355,1,4.0,2017-01,2017
22,2017-01-01,357,1,6.0,2017-01,2017
23,2017-01-01,362,1,16.0,2017-01,2017
24,2017-01-01,374,1,7.0,2017-01,2017
25,2017-01-01,378,1,,2017-01,2017
26,2017-01-01,397,2,4.0,2017-01,2017
27,2017-01-01,398,1,5.0,2017-01,2017
28,2017-01-01,402,3,3.0,2017-01,2017
29,2017-01-01,403,1,,2017-01,2017
30,2017-01-01,409,1,1.0,2017-01,2017
31,2017-01-01,427,1,2.0,2017-01,2017
32,2017-01-01,448,3,6.0,2017-01,2017
33,2017-01-01,451,1,,2017-01,2017
34,2017-01-01,462,2,1.0,2017-01,2017
35,2017-01-01,467,1,5.0,2017-01,2017
36,2017-01-01,488,1,,2017-01,2017
37,2017-01-01,509,1,4.0,2017-01,2017
38,2017-01-01,511,1,4.0,2017-01,2017
39,2017-01-01,513,1,2.0,2017-01,2017
40,2017-01-01,522,1,2.0,2017-01,2017
41,2017-01-01,529,1,4.0,2017-01,2017
42,2017-01-01,551,1,2.0,2017-01,2017
43,2017-01-01,555,1,2.0,2017-01,2017
44,2017-01-01,563,1,4.0,2017-01,2017
45,2017-01-01,584,1,1.0,2017-01,2017
46,2017-01-01,626,2,2.0,2017-01,2017
47,2017-01-01,632,1,8.0,2017-01,2017
48,2017-01-01,636,1,20.0,2017-01,2017
49,2017-01-01,637,2,5.0,2017-01,2017
50,2017-01-01,644,2,3.0,2017-01,2017
51,2017-01-01,645,2,23.0,2017-01,2017
52,2017-01-01,646,6,24.0,2017-01,2017
53,2017-01-01,647,2,7.0,2017-01,2017
54,2017-01-01,666,1,12.0,2017-01,2017
55,2017-01-01,668,1,8.0,2017-01,2017
56,2017-01-01,724,1,5.0,2017-01,2017
57,2017-01-01,758,1,3.0,2017-01,2017
58,2017-01-01,765,1,3.0,2017-01,2017
