,Year,Reporting_District_ID,Arrest_Count,Call_Count
0,2017,100,7,0.0
1,2017,101,70,123.0
2,2017,105,33,30.0
3,2017,109,12,4.0
4,2017,111,914,2393.0
5,2017,112,38,23.0
6,2017,118,45,89.0
7,2017,119,189,517.0
8,2017,121,26,13.0
9,2017,122,24,17.0
10,2017,123,44,48.0
11,2017,124,79,169.0
12,2017,127,359,298.0
13,2017,128,69,131.0
14,2017,129,40,35.0
15,2017,131,15,5.0
16,2017,132,37,114.0
17,2017,133,9,6.0
18,2017,134,35,54.0
19,2017,135,95,242.0
20,2017,138,1177,1227.0
21,2017,139,53,115.0
22,2017,141,21,8.0
23,2017,142,103,208.0
24,2017,143,134,208.0
25,2017,144,34,61.0
26,2017,145,71,54.0
27,2017,146,127,105.0
28,2017,147,345,1014.0
29,2017,148,740,934.0
30,2017,151,22,12.0
31,2017,152,363,1568.0
32,2017,153,376,1752.0
33,2017,154,160,561.0
34,2017,155,631,348.0
35,2017,156,1173,2028.0
36,2017,157,1783,2174.0
37,2017,158,1221,1350.0
38,2017,159,151,485.0
39,2017,161,172,306.0
40,2017,162,351,1779.0
41,2017,163,83,125.0
42,2017,164,77,147.0
43,2017,165,192,230.0
44,2017,166,625,1271.0
45,2017,171,186,273.0
46,2017,174,64,134.0
47,2017,176,531,772.0
48,2017,181,89,58.0
49,2017,182,230,998.0
50,2017,185,326,764.0
51,2017,191,56,64.0
52,2017,192,237,995.0
53,2017,195,314,675.0
54,2017,201,143,472.0
55,2017,202,69,135.0
56,2017,203,27,46.0
57,2017,204,46,113.0
58,2017,205,51,133.0
59,2017,211,93,312.0
60,2017,212,135,404.0
61,2017,213,1,0.0
62,2017,215,63,123.0
63,2017,216,105,265.0
64,2017,217,107,160.0
65,2017,218,143,376.0
66,2017,219,67,173.0
67,2017,221,45,120.0
68,2017,222,1,0.0
69,2017,223,1,0.0
70,2017,224,1,0.0
71,2017,225,2,0.0
72,2017,226,2,0.0
73,2017,228,1,0.0
74,2017,231,65,183.0
75,2017,233,68,137.0
76,2017,235,122,461.0
77,2017,236,141,494.0
78,2017,237,150,592.0
79,2017,238,70,176.0
80,2017,239,23,10.0
81,2017,241,29,53.0
82,2017,242,1,0.0
83,2017,244,2,0.0
84,2017,245,935,1369.0
85,2017,246,336,1268.0
86,2017,247,53,97.0
87,2017,248,63,166.0
88,2017,249,75,265.0
89,2017,251,130,466.0
90,2017,252,1,0.0
91,2017,253,1,0.0
92,2017,256,252,595.0
93,2017,257,230,528.0
94,2017,261,245,650.0
95,2017,264,1,0.0
96,2017,265,372,1390.0
97,2017,266,130,283.0
98,2017,267,1,0.0
99,2017,269,145,541.0
100,2017,271,49,105.0
101,2017,275,120,385.0
102,2017,276,3,0.0
103,2017,277,1,0.0
104,2017,279,37,92.0
105,2017,281,28,68.0
106,2017,283,1,0.0
107,2017,285,51,107.0
108,2017,289,33,59.0
109,2017,291,48,79.0
110,2017,292,18,12.0
111,2017,295,51,119.0
112,2017,296,3,0.0
113,2017,299,61,141.0
114,2017,300,1,0.0
115,2017,301,25,32.0
116,2017,303,20,12.0
117,2017,305,39,50.0
118,2017,307,8,4.0
